TABC Certificate Number,Permit/License Number,Brand Name,Type,Approval Date,Trade Name,Alcohol Content by Volume,TTB Number,File Link
770009,S744132,KRIMSKOYE SEMI SWEET PREMIUM,WINE,03/14/2011,DIME GROUP INTERNATIONAL INC,11.5,3274003000004,https://storage.googleapis.com/tabc-public-labels/b83f8044a12d52913a1e76e37c805bf7.pdf
966362,S964414,KRIPTA,WINE,12/09/2016,MONO VERDE IMPORTS LLC,11.5,13244001000025,https://storage.googleapis.com/tabc-public-labels/6930602c3ff6ba8f7744c64175541c65.pdf
749091,S725505,KRIPTA BURT NATURE GRAN RESERVA,WINE,05/27/2010,CASA VENTURA IMPORTS INC.,11.5,6198001000180,https://storage.googleapis.com/tabc-public-labels/8a5551d0b4894d14260125c73f81ba9e.pdf
1053313,S447507,KRIPTA CAVA 2010 BRUT NATURE SPARKLING W,WINE,05/07/2019,MHW LTD.,11.5,19077001001225,https://storage.googleapis.com/tabc-public-labels/7378b07bae21040dd66cb62c68e3889b.pdf
993181,S781758,KRITER,WINE,09/06/2017,SURVILLE ENTERPRISES CORP.,11.5,16069001000254,https://storage.googleapis.com/tabc-public-labels/237cc9fd4b9a70da185f7436ab89d20c.pdf
993179,S781758,KRITER,WINE,09/06/2017,SURVILLE ENTERPRISES CORP.,11.5,16069001000261,https://storage.googleapis.com/tabc-public-labels/25e1408bb61634ae0fd7e383f52bf87c.pdf
694603,S143545,KRITER BRUT-BLANC DE BLANCS,WINE,06/04/2008,CANNON WINES LIMITED,11.5,5024001000032,https://storage.googleapis.com/tabc-public-labels/9465bb6efe9c4b752b2d21c309fe6bf1.pdf
1118958,S450923,"KRUGER RUMPF RIESLING NAHE, GERMANY",WINE,05/14/2021,MICHAEL SKURNIK WINES,11.5,20099001000206,https://storage.googleapis.com/tabc-public-labels/91cc606d1a2a38a7c58d5589a31fae81.pdf
675334,S450923,KRUGER-RUMPF,WINE,10/29/2007,MICHAEL SKURNIK WINES,11.5,7248001000276,https://storage.googleapis.com/tabc-public-labels/714d16fd3366d3ea56d2e81a3d7ea39f.pdf
1099666,S916435,L B YVERNAY BEAU JOJO RED WINE FRANCE,WINE,10/23/2020,T. EDWARD WINES LTD,11.5,19115001000678,https://storage.googleapis.com/tabc-public-labels/0021cf7cbbc6ed9b79213c188f6dab66.pdf
